,tweet,subtask_a
3167,anti help riot incite bell year kama ago spoke,0
3168,slimy democrat bastard,1
3169,fill ring lotus flake sold hatred end relevancy behaviour search,1
3170,demented,1
3171,lost elect urls go think support start adrift gun way let find teacher control general track leaders reasonable hear like answer sense defeated,0
3172,indeed cute,0
3173,citizen duel,0
3174,fine,0
3175,urls little rather want liberal democrat subvert face allow democratic process attempt get anyone time claim havana ugh deliberately believe,0
3176,real revert blah circuitry insane troubleshoot source words urls liberal wrong fix convert audio simply something look,0
3177,new bic woman overall representation high conservative election labour take thursday figure female result commons maps general,0
3178,hold fully need accountable action home one shot care break,0
3179,beyond well mccain hear,0
3180,guy whole medium head mess thread boxing social sure pals read think,1
3181,would know listen fact liberal anything like done research,0
3182,part together integrity georgia make character see resident right atlanta city place still proud get never good amidst seem state,0
3183,urls please retest,0
3184,lunatic want left deal never become democrat,1
3185,snow rich,0
3186,promote push citizen free criminal effort zone abide age give edge law voting gun lower control amendment,0
3187,respond police shooter active middleton multiple agency,0
3188,ball court,1
3189,small naive trump supporter support group know anti liberal terrorist make people,1
3190,female dislike conservative,0
3191,racist worst forget thomas ever go clarence liberal never level people,1
3192,fuck happen,1
3193,new free idea entitle laws thinking baby money speech gun killing healthcare exist pals rich control,1
3194,month together contract even survive homework cobble proposal real last two unprepared would still party never world hand cant years business minute,0
3195,upset straight sound let know deny doe go length gay tho liberal matter say mean couple like conservative,1
3196,church crime jail away holding hell pedro prosecution getting tentacle kind,1
3197,clear race claim popular white wonder link piece genre academic writing pretty upper middle class liberal spell read,0
3198,pope char francis urls bingo prophet false compare,1
3199,enough say urls,0
3200,come hide guess lot rough fact days point unflattering claim could one father state ford parent emotional daughter,0
3201,random setting also wrong mean id like,0
3202,know disgust thing every clueless look,1
3203,want kinda file crowd range gun broker safety gun ship getting would app fol shut succeed control guess sales like,0
3204,kid good show liberal,0
3205,emo ass fake,1
3206,shed want liberal move father instead perhaps founding die fight freedom destroy blood ungrateful yeah try korea china funny us desperately north venezuela communist like country perfect hama,1
3207,earth know tend anything neutral industry universe talks welcome motivation paycheck cigarette get planet eminem pay money everybody cite people truth,0
3208,hide crime urls go political people opponent enemy,1
3209,behind woman havana ugh doe day helping case every sitting think,0
3210,mini urls hair grandmother long could see show legs love midriff bare wonder grow girl micro realize older years today lust like people blond great,1
3211,thank feel rock star love excite,0
3212,come covet sexual incite urls champion liberal mind job democrat hit damage thing actual first woman minority doubt everyone victim another lizards assault power,0
3213,shooting call stop urls bengal gun foot someone series please control,1
3214,urls reportedly right,0
3215,dumb passive ass,0
3216,dig save frankie,0
3217,lost disgust get outplay behaviour,1
3218,racist anti thug place criminal blk group panther terrorist farrakhan either black hateful,1
3219,always victim,0
3220,old fact joe misrepresent song liberal singing usual bullshit,1
3221,smart,0
3222,try randomly shit dos work bro first whf time,1
3223,lao genius like conservative look think,1
3224,glad like exhibit mannerism look,0
3225,come free liberal campaign plan care support funds doe left knowhow stuff welcome platform everyone time popular times everybody america,0
3226,girl power,0
3227,know dream provide even testify feed twitter tell read ever could spoke shred chuck evidence therapist allegation nothing means trial sat supposedly,0
3228,fur butt know think,1
3229,occupier forget go white obama think hell idiot become ignorant president leave unite current fool state country house learn,1
3230,editor boss chief joe responsible stupid men yes editorial arguing,1
3231,expect,0
3232,league even man win champion week choice think last affect higher minutes coming comm in a first herrera midfield get peck essentially rest decent eth much order today like option rotation,0
3233,please help hospital mon leg home cause something tell break,1
3234,part fraud pull together,1
3235,happen woke is is,0
3236,worldwide let ring follow urls cry nova girl freedom world battle scotia,0
3237,live iron kamikaze strange times side really parent never figure people pilot,0
3238,waters candidate flip incite thank stab switch could violence working get house blade conservative minion maxine open goodness,0
3239,turn orient dream liberal location local vary base idealistic relative progressive conservative guy opinion regressive politics inform reality kind degree result within,0
3240,office vote part old idea problem trick butt america work right solution time,1
3241,say prayer hang alone,0
3242,lead know sport safe georgia half fan phillips,0
3243,distress help please urls,0
3244,beloved,0
3245,live witness peg din capt sarah aha pain sir ringgit spot kabul iran laugh lucky barber,0
3246,good lad luck,0
3247,become happen reason,0
3248,represent vote elect else us party leaders note person people fighting take ask power care leader someone keep,0
3249,personal boy responsibility slut drunk,1
3250,friday cancer lost worse sorely brother rip keys of life fight place giving one skin without world battle kra kris miss best manga szczecin ski,0
3251,part president instead thank problem illegal damn ahead god different put right country putting american alien think,1
3252,opera yesterday yet account credit please,0
3253,flashing life eyes bitch,1
3254,fun anger funny liberal posting keep read bitter,0
3255,sexuality everything liberal,0
3256,maybe urls need knife ban think,0
3257,allies even along trash,1
3258,vote go hope must conservative,0
3259,try wherever serve best urls even want season appreciate every journey sutra java purpose,0
3260,asbestos coal bring back,0
3261,humour funny assume thought great comedian sense,0
3262,live let urls wife cum join give something,0
3263,anti tactics start riot doe want posting employ people fascist video,1
3264,citizen oath disgust constitution state violation unite country disrespect concern democrat behaviour,1
3265,runaway away liberal propose country revolutionary start perhaps right would belief need action one take time protection government like people,0
3266,fuck forget know pants poppy diaper,1
3267,hide like wat know boy liberal really obama two put recall court acting panic republican,0
3268,fill constitutional urls appeal liberal away chips sure court majority conservative american,0
3269,hypocrite flies around private jet world,1
3270,would cringe low big hope movie really stays way make making character sense,0
3271,absolute period worse,1
3272,man gregg,0
3273,urls even going care tell lamb distract idea completely zero apart get world amongst populace culture manga family lion pop,1
3274,forward big sit compromise put republican democrat back vote instead laws accept gun everything push forth control respond try putting remember,0
3275,liberal,0
3276,worst paedophilia evil,0
3277,dollar fire bargain another destine bin starter,0
3278,thank hope heart bless morning saw,0
3279,act find pro issue gun stand control choice reasonable,0
3280,boner lose okay shove homer face petty even resemblance,1
3281,poplin come want pay sever say keep star books rust,1
3282,glad replace guess see things offhand,0
3283,come abortion absent conscience problem always money available matter seem take convenient party gun clearly care control,0
3284,empty ginger head hammer,0
3285,supporter productive ted connection doe tweet say quote anything russia original nefarious cruz,0
3286,try new urls tack violence gun california bullet control,1
3287,times seem mark detach masses far completely,0
3288,new,0
3289,represent vote criminal guy support record maximum occasionally dress flag contribute translation capacity like sacrifice wear disrespect,0
3290,scare us stupid behalf decision make average american,1
3291,straight fact reveal cyberpunk get announce way shut getting back bitch,1
3292,liberal,1
3293,trump anti regrettable immediately little want party successful throw violence quite kid suggest america panic democrat,0
3294,would doe go another need feel mean like situation love,0
3295,poverty past waters years last discreet anyone anything power watch people maxine visit,0
3296,love,0
3297,free shooting funny want going need go fanatic get obama gun war control think,0
3298,new listen nigga blow gotta somebody wave,0
3299,anti still want yet join,0
3300,woman see period child rape never freedom assist,0
3301,incompetent handle liberal trudeau,1
3302,real urls wisconsin everyone make dumb goal,1
3303,anti warn twins everyone thing say yep hate,0
3304,bread making still,0
3305,booty meat prescott sch better,0
3306,infinity wait know hade wrong war huh read,0
3307,come future seeing start short dream list could money business true realize ass,0
3308,school high actually democracy hey awake nut job,0
3309,anxiety health sick worth gluten depression schizophrenia allergy well way polar feeling major research mental problem diet tough like dairy,0
3310,limn name war craft character world,0
3311,ruin everything urls,0
3312,shitty know day brighten haley,0
3313,arsehole agree fuck even shit defence closely thing thread post align right ironic far look,1
3314,fear president big wet say get grab florence,0
3315,hero doe apologize anyone way lewis john,0
3316,trump supporter standing lao cameraman check may rock,0
3317,thank add please,0
3318,standing pissing face almost business beside mind pants like bro laugh whf,1
3319,try even wow liberal,0
3320,come possible scare rowdy kiss bomb hurt camera dog whenever photo let also get picture try times lap ham like,0
3321,shit outta smack,1
3322,eric holder move,0
3323,speaker call nancy urls left rubber stamp party laughable want pepsi sycophant via conservative keep regurgitate house coup,0
3324,old comment liberal opposite journalistic make mother attack see christian smear reason injustice occasionally take every opinion tyr try tweet block chance,0
3325,come even mind anything democrat sheriff public left things see gun stand israel use cross surprise control shame promote order much may eye tragedy,1
3326,working gun chicago control,0
3327,lonely big hear cock,1
3328,fighting och liberal,0
3329,become everyday anti like,0
3330,get real suggest life,0
3331,tall low really,0
3332,anti blame also go folks simultaneously gun cop people die love control,0
3333,humble deserve liberal nothing divide credit twitter american,0
3334,bernie crafts know big want swede swedish weapon background check things change gun would healthcare style absolutely hunter ban control assault universal,0
3335,comment saying say bipolar different people shit keep,1
3336,left folks everywhere must boycott work fascist crush,1
3337,trump vote percent touch cigarette proud never jesus drug republican,0
3338,kneeling busy watch,0
3339,tucker know exactly carlson make idiot malicious,0
3340,smart lady liberal,0
3341,trump anti president get book pamphlet,0
3342,anti real report blk fact anderson get viewers lie except,0
3343,overall best league even player fan brown,0
3344,anti bet look protest state spend weekend,0
3345,vote responsible mccarthy kick exactly moneybags safety gun ora californian district control,0
3346,field urls strict gun killing illinois drug gang control,1
3347,diarrhoea urls words constipated,1
3348,gone wall follow,0
3349,freak valid,0
3350,anti new aim send urls years jail mask activist bill,0
3351,sadly wrong,0
3352,booty see sure bask make wanna,0
3353,windfall husband hit report subsidy mask ill urls campaign federal,0
3354,idea void face problem us constructive begging myriad moderate parrot show dead right thatcher absolutely answer,1
3355,probably say fuck,1
3356,guy doggy conscience nation pitching also product modern get hamilton play family ticket wow think,0
3357,send urls years actually congress yet liberal blather continue raise senate lion kill someone back,0
3358,shit ruin low,1
3359,looking plant urls like,1
3360,ever greatest lotus,0
3361,kamala lao point justice yet untrustworthy something say feel way right absolutely blind,0
3362,niagara,0
3363,hold contempt man furious fast,1
3364,elitist another believe hollywood conservative accuser accuse,0
3365,try much ass matter bite life keep tell,1
3366,legit easy brat nothing,0
3367,past lost lao reason game season two delusional either think,1
3368,judicial litton tom thank highlighting question segment asking awesome work watch country great,0
3369,ugh mean wig shit,1
3370,detail selection mayoral urls,0
3371,ass strike fat liar,1
3372,totally bluff,1
3373,airtime guy giving stun,0
3374,ready alas,0
3375,compete even democrat urls,1
3376,monster,1
3377,keep urls,0
3378,gonna fix glare shot prob worth answer,0
3379,vote old still year line get work tough stand daughter back bitter,0
3380,would least ever happen alyssa tweet saying shut innocent guilty answer apology,1
3381,satan one daughter,1
3382,hah shah along urls man whatever smoking pass please,0
3383,like low even board go appointment obama play acting refuse consider fully person life conservative hearing stop investigate high everyone get court time else give information please,1
3384,boring good individual seem,1
3385,ancestor know actually even make ass long sure native first american straight fact throw get anyone wanna french punch,1
3386,would pope church try instead cover problem man really take god care catholic think,0
3387,trump help body count high besides hope gutierrez blame,1
3388,library tweet yet stupid yes,1
3389,probably little wendell urls,0
3390,free lac aka intel non system link speech domestic info wars foreign entity agency,0
3391,vote police crime cut complain funding tackle person conservative,1
3392,seeing racist anti tactics liberal ads combine nazi propaganda compare reflect hate case pray modern righteous might terminal also everywhere advance wanna brown shame fill shirt liberalism,0
3393,excellent offering taking thanks much upcoming able going thread take class sic presentation hopefully definitely look,0
3394,go,0
3395,probably boru to twice one sex sister care,1
3396,eric dealer jail arms holder ass slip,1
3397,bale shit,1
3398,funding,0
3399,trump swamp another urls,1
3400,anti domestic terrorist declare organization,0
3401,conspiracy cry weirdo could provoke yet another victim orchestrate desperate,1
3402,farm old peanut man get back,1
3403,strategy dbl biden winning hrs done look learn,0
3404,would hide low claim contradict want ford everything conservative,0
3405,rolling floor low funny uncontrollably laugh,0
3406,nigga fucking,1
3407,citizen woman arrest threaten kill american,1
3408,hrs fat big benefit clone bear think cd face right conservative muzzle head giving fact hole around need ugly shut decent citizen havana ugh family people guilty,1
3409,situation similar saying,0
3410,thank president trump,0
3411,day mueller go fornicate crook long,1
3412,room romper,0
3413,avow anti leftist know tie sorts ford radical right plum crazy,0
3414,racist free low comment make think follow posting account way ignorant bad instantly try leaving post block feel crap people look,1
3415,doe always,0
3416,obama,0
3417,anti upset group prof las home threaten ford people harasses,1
3418,anti scare corner obama propaganda democrat back storm abseiling constitutional start war primary civil blk heighten argument clinton animal mss,1
3419,list canon disease anti,1
3420,swamp self urls must take country back enrichment,0
3421,bull rap,0
3422,know even liberal impose stu personally think feelings presume life death personal also anyone flavor abortion oppose else us feel circumstances,1
3423,gonna stop never love int bitch,1
3424,lying low cd lot even going kick bolt get run sleep better foot using like ass break bitch,1
3425,doe must take kid consistency make crap shit usual clue since,1
3426,probably anti like know woman sorry desperate right people far control,0
3427,boggle swear liberal trudeau mind acquaint standard well canada people co marxist,0
3428,urls reading folks wake time,0
3429,doe us music anyone make remember,0
3430,quickly unless evidence woman doe proof man allegation truthfulness get say marks lie truth,0
3431,yeah price bag rms saw selling wow also another buy thing shop large like org range item,0
3432,liberal evil reveal true isis dash call sad dare scary psych system undergo crazy protect pen justice ordering muslim radical horror french,0
3433,urls also max evil opportunist,1
3434,mercury stop gig also career another showing set freddie flat kill shit getting biopic,0
3435,help along sober cut better,0
3436,come month together urls food worth expensive cage doe left yet two puppy bowls still groom fact bigger due least extra information,0
3437,trump president host vega urls la flying manga rally,0
3438,arsehole library,1
3439,useless,0
3440,relatable urls,0
3441,top poster child,0
3442,honestly surprise incredible tale think,0
3443,governor rico puerto right fraud,1
3444,attempt nurse also spectacular valuable rarely end play get defensively worth watch puck holding first,1
3445,training aim arms personally constitutional home gun design near grade regulate contemporary keep control military possess armament law regulation people universal,0
3446,vote good guy grief texas,0
3447,lose tactic crime reduction tout gun democrat long control,0
3448,miss going nope sorry ass,1
3449,royce reference roll note classist,0
3450,bowls skip percentage oil fun fact check higher buddy mate super right winning,0
3451,also need change person remained put charge credit negotiation clue,0
3452,act good talking still taking scare tactic clause liberal thing away one hear exist,0
3453,funny,0
3454,trust never ass,0
3455,taking thu prisoner dang mama alone,0
3456,would apartment numbers yea soon go crazy wrong door notice walk story like shit ass,1
3457,reach fart woodward old mental know silly white going hey one alzheimer house stage,1
3458,short favourite one wonderful story brilliant,0
3459,mistake daddy first,0
3460,else talk nobody great,0
3461,word funny man key think,0
3462,gonna fucking vegan run scone make robyn lab bio chem blame time,1
3463,words mark,0
3464,anti call doe also left everyone anyone like fascist,0
3465,handling trumpeter also hurricane cuba must piece say well true sad something,1
3466,hogg,0
3467,suck,1
3468,concept religious tearing doe protest religion blasphemy book,0
3469,straight mental attitude things stuff love,0
3470,top new big soon underneath even las gloriously really hair wig bald technology,0
3471,fucking also already lately shit,1
3472,small paris asia little go age given dough birthday name plateful pastry place find say saviour try ate sell post hindu treat found look,0
3473,essential public democracy company private universally impose unwanted profits mean opinion put bauble people service unnecessary sense parasite,1
3474,gordon worse credible brandon either cook believe brown,1
3475,arsehole bono,0
3476,lemming see,0
3477,ewe want imagery one head kind,0
3478,sorry idiot,1
3479,anti dregs blk support parenthood illegal biden liberal society others guilty plan isis democrat accuse alien profiles,1
3480,name second last share change say rest character refuse associate basically,0
3481,aim grit blonde pump charge show legs break would feeling get teeth toss darts pain tough cause give minor shield,0
3482,sicken good many start gullible us point rebuttal one ask propaganda give conservative watch spew term,0
3483,ignorant waters fact doe thank man drive williams jesse get lady five god listening juan crazy,1
3484,pot anti kettle trump hater liberal calling bully nothing black,1
3485,fascist version anti,1
3486,killing org look beautiful,0
3487,fuck show harris lake corey,0
3488,mountain indeed sound blessing emmanuel almighty move sweet grace god amaze full,0
3489,expect know call else mind say anyone transference butler predator coming typical,0
3490,urls genre greatest take one mean yes right become black predominately aspect,0
3491,hands sen tell real idea round gun leaf still get world lumen that control pm shaking ord whine millionaire like judge,1
3492,shit aka,1
3493,disgraceful,0
3494,anarchist pale zion call cooper liberal men william behold protocol horse wise,0
3495,homeless district forget congressman,0
3496,conservative,0
3497,love,0
3498,patriotic liberal potentially hater intel classified things right document pathetic president dangerous entire bit trump hypocrite leak order country harmful declassify,0
3499,low thank go actually going matter away tell glad real vote help troll choose fight need everyone get superstar god awesome trump supporter ray us join please,1
3500,blast watch,0
3501,gun need control,1
3502,lying claim urls piece meanwhile shit prove expose,1
3503,nigga asleep fall soft,0
3504,live quran big go krishna attention prime figure worth care boss see life minutes type brave wanna lord time atheist cover much hindu grab followers people,1
3505,would think trump tyrant want gun control hell,0
3506,ass psst bono,0
3507,lot china manga car right great demand expect answer increase reduce,0
3508,confirm havana ugh,0
3509,try violent need change desperately society kid give something bring break,0
3510,bro dollar shit tree brand like sharpie disrespect definitely back,1
3511,price lot high knee get spend giver getting time,0
3512,real anti asking eye black bone break,0
3513,via guess urls,0
3514,excellent timing urls,0
3515,would maybe brother uncanny old lost low years urls us twins resemblance make bros bro long,0
3516,get ever dumb thing,1
3517,police shit history never hear canada conservative thankful,1
3518,fibre yoda polyester hair puppet,0
3519,urls tweet retest please great,0
3520,taking urls undertaker seriously manga sch bit,0
3521,trump manga haw,0
3522,talking sound urls like people,0
3523,would imagine anti firebomb residence minority ford member judge,1
3524,found urls please feb,0
3525,morals judgment elect buy liberal decide democrat left two president one run trump nomination embarrass pay question people american,0
3526,delusional,1
3527,doe,1
3528,worst ever pro sport things one unleash goodall useless,1
3529,often living urls us also need pray include jesus ask god people save prayer think,0
3530,country opinion mine best,0
3531,master none good fucking,1
3532,manga urls,0
3533,imagine pocket rather government take peoples worry local,0
3534,protection urls unprecedented sen fund via breath art,0
3535,norm funny show give,0
3536,hah friend salina home mighty make catherine hunter back think,0
3537,planning somewhere tour sale likely starting february go beginning september around say mean end like october,0
3538,clear definition liberal campaign play far accuser prove since plant interest right smear prof motivation definite crystal time disappear bias,0
3539,get letter press,0
3540,little ass boy,1
3541,part evidence conspiracy plenty soon lock russia found think,0
3542,body scare help boy food knowing liking size girl ask someone wear stamp something dating,0
3543,irrelevant time waste,0
3544,urls currently,0
3545,name urls reason,0
3546,people decent show liberal,0
3547,support woman admire discrimination frontline country fight,0
3548,fri truth feed news havana ugh urls another yet devastate blow deal accuser democrat,1
3549,destroy hearing liberal trudeau awesome love,1
3550,price banks lack mainly lending affordable housing urls government nothing immigration inflate practice building house increase,0
3551,sling factory movie sum show worth cause intelligence shit coming back,1
3552,anti carefully elect rule man seditious save socialist democrat mob could resistance words close tread crisis conspiracy republic us give chance like people dangerously,0
3553,funny,0
3554,match party deranged democratic demented perfect,1
3555,kiss big connection fingertip triangle massive favourite amenable hot spots shape actor,1
3556,match emotionally talk liberal differently pretend hate think yet preach full decency words politically action anyone never imposter funny morality human like bankrupt,1
3557,name legion self overall urls us demon nazarene mark loss divide freedom possession,1
3558,name found forget,1
3559,thank mosque god,0
3560,religious muck happen running government society sam fall one right conservative predict,1
3561,supply urls liberal modern fighter,0
3562,sure lying,0
3563,option still best,0
3564,stop skinny literally playing,0
3565,get yes,0
3566,bed old decide write long endorse since tell bernie getting concern death many congress dirt run closer try lotus bill,1
3567,hit wit pm nigga cookie well,1
3568,urls,0
3569,dam sexy,0
3570,enter hand frustration upon sometime voice need tone piece subside one felt within someone important begin soothe,0
3571,anti looking bet going given illegal see things voting way november gazillion alien wonder take badly eth protect super soldiers zombie really seem pretty accusation result,0
3572,crowd anti quack,1
3573,saving dog thank people arsehole,1
3574,anti appal agent physical also see assault address ford ice family advocate,0
3575,supporting free communicate know brother game years able like hopefully guys time,0
3576,funny jim become use crazy,1
3577,safe subject urls yesterday could laws question law enforcement officer gun whether country keep limitation answer control amendment,0
3578,welcome please hear,0
3579,child party drinking alcohol,0
3580,org,0
3581,good point greatness liberal move crying manga work closer waste country keep time,1
3582,joke urls liberal like look,0
3583,talk always go liberal prove democrat think einstein senator resource destroy let fact pepsi rico politician thanks rob puerto state like people financial,0
3584,position etc lifetime innocent boyfriend sex life right would destroy party run every one juggernaut entire wing try interview grab power,0
3585,dude response tweet want coast put pull dealing guard team famous,0
3586,ever president best,0
3587,anti comment win stupid fascist refuse engage attack way show use personal fact stop bully research projection try approach mythical look,1
3588,say believe,0
3589,row lisa front skinny,0
3590,new london urls illegal rates murder correlation higher gun rate york legal homicide read control,0
3591,record prove failure,0
3592,curtin true,0
3593,old suspicion win idea rice maximum force gun tamil fight use better would let assume get child common fist control arm mere year train cop knife sense,0
3594,transparent process flake scotus waiting conservative become snow,0
3595,break normal foolish make shit look,0
3596,come anti possible free want wrong kkt make shutdown engage speech anyway show idiot right rally group counter also willing done arm state using protester like,0
3597,anti new like thanks sorts right fascist socialist phil,0
3598,concert call goer smith unethical ora shot wesson dead caliper gun research control jacksonville,0
3599,urls homicide high laws really works rate gun chicago strong control nation,0
3600,top find voter urls wake worry midterm bad poll via better hell,1
3601,come forward suppose testify believe liberal sure crucify someone like expect something accuse think,1
3602,ready swamp find hour attack intentional hearsay want sat lockstep say well admit investigation completely einstein base think,0
3603,making fun,0
3604,anti hood know go beating liberal kkt democrat stranger brother would brave around party nothing never violent son year like people belong great,0
3605,would anti hold explain dennis accountable somehow gun people please control,0
3606,okay low cut discreet gotta shit,1
3607,month blue roberto birthday democrat think help doe last hope way wave gutierrez november midterm take time clement honor remember,0
3608,close thankful believe get,0
3609,pappy ignorant fat big doe fool eth level make bad democrat look,1
3610,go mouth side one smirky like shit,1
3611,go liberal really progressive yes banter dumb,1
3612,bad ass bitch,1
3613,booty move mann gee like,1
3614,die bitch,1
3615,nothing boat show,0
3616,solve need mess fiscal surprise illinois conservative financial,0
3617,national must fight join conservative trans phobia review,0
3618,ignorant vote lack shameful deep thinking blindly people,1
3619,people urls,0
3620,young know many order harry also teen focus one phoenix never angst power conservative page,0
3621,shit awesome holy,1
3622,rating audience mommy basement year last weenie urls liberal continue nosedive consist since,0
3623,support response beano urls little former willie hurtful quit drove fan hippie,1
3624,gonna int like,0
3625,without doubt,0
3626,sorry going,0
3627,instead lack problem left intelligent want point question comment counter norm debate silence show intelligence issue prove,1
3628,good news soon hope better,0
3629,ohio,0
3630,scare giving know trust piss busy credit right death,1
3631,hell,0
3632,go,0
3633,clear peace know tory point mouth business corporation disaster propaganda credit bic machine answer loud,0
3634,carol funny like,0
3635,telling male justify safe stay away bow pronoun individual,0
3636,anti thank sargon brand authoritarianism special akkad look,0
3637,stand ground conservative,0
3638,dare evil,1
3639,liberal idiot think,1
3640,urls obsess must dot love,0
3641,blatantly fact disrespectful nothing rude situation,1
3642,trump pick whole list withdraw conservative,0
3643,yes,1
3644,brennan sure hell,1
3645,talking know urls separate back things talks gun ways way sad getting many still news homeless kid one donald shut control trump truly parent country,0
3646,let woman deserve year doe funny man business pro mean men work show cause hard handle done think,0
3647,help fun tweet exactly liberal well making god insanity,1
3648,mexico let laws money wall focus get gun border control,0
3649,name odd location thing well right like enough,0
3650,guess urls eat hebron ass since,1
3651,confirm getting care nobody,0
3652,pressure change liberal mind end may take get make care result goal,0
3653,useful bury go sand make head,1
3654,official rob people die job,1
3655,canadian coward liberal medium conservative israel ignorant pro fact counter factual positive staunch helping question trudeau assault post liar either answer,1
3656,old big leg night daughter audrey last could talks well break get lower time hero year shootout phoenix chance bones meeting,0
3657,anti new party quiz pop,0
3658,frog canon crazy anti,0
3659,jealous crony lying hear,1
3660,range us want shoot gun unconstitutional shooter control protect,0
3661,overuse joke talking thanks lao urls much yesterday man comment stan twitter people shit moe marvel,1
3662,supporting urls compromise unconstitutional clearly behaviour,0
3663,lunch woman havana ugh responsibility money need assault take stealing accuse,0
3664,try kra instead manga aikido,1
3665,evidence base,0
3666,judicial day urls september activism liberal,0
3667,little god assure like delusion,0
3668,destroy many crime face obama clinton family like bush,1
3669,anti world muslim,0
3670,would know cry add pointless awful humidity,0
3671,alone,0
3672,go hell,1
3673,lucky bitch,1
3674,would maybe sensible fucking day little things gun country control,1
3675,flake name well,0
3676,still urls list high gun obesity care people control,0
3677,obviously funny duh huh infinitely think,1
3678,relate weird lao,0
3679,turn criminal sexual land zero means call stop coward must get tart necessary terrorist fugues numbers native fight,1
3680,part hood little friend going describe unchecked brother left check ways way though many still word get say pussy feel educate cause people,1
3681,austria,0
3682,dirty responder disagree low middle disrespect race utter ice religion first speaking punk biden agent high joe gravy hand best train law enforcement class,1
3683,thank go win sick keeping vote intend left promise change death destroy president believing never awesome trump truly try manga america country believe american,1
3684,vote seem desperate right deliver wing nobody,0
3685,serious good org,0
3686,many humour tweet funny times calling hillbilly poor higher income bow original conservative hmm suck,1
3687,coworker one work sick ass,1
3688,nigga big say stretch,0
3689,rant gonna whole need really thread feel tara logan ass hama,1
3690,anti slinky tactics urls rest love democrat,0
3691,help bother message really sorry hello angel beautiful,0
3692,scare unless mind youtube african change title islam love continent video death sweden demographic france europe us america muslim watch please look,1
3693,fuck sound thought sick moment first death,1
3694,selective know urls want us liberal putrid moral conservative outrage,0
3695,thought gun california control,1
3696,member sig also open,0
3697,pic start game take fake long,0
3698,total uproar yet affect work tax right armageddon full wait million sink get orwellian control time vibe claim inc us feel like credits subject,0
3699,berlin anti remember fact spread wall one using russia might propaganda black consider,1
3700,vote rolling hostile much urls shit poor society environment hang vulnerable keep head shame,1
3701,urls chequer disaster britain proposal,0
3702,amaze organizer,0
3703,horrific doe justice righteousness pearl hope clutch jan wear moment better,0
3704,good year crafty talk go money white get fall one lab bell chick receiver,0
3705,anti live germans an violence german poor must refugee nice,1
3706,stops lowest yep fail count doe gun banning homicide would evidence close stop also note violence number control record exactly saying,0
3707,shit,1
3708,probably pissing coffee together mcdonald write,1
3709,tab anyone asia argent,0
3710,fuck trolling coon call quick disagreement cause minor,1
3711,fuck franchise whole much hate,1
3712,works gun definitely control,0
3713,happy manga great peep alive time,0
3714,like soon going middle care hopefully lesser doe see destroy many light product top business sell america country american,1
3715,second person must gun certainly control believe narrative amendment,0
3716,liberal clash global style conservative shastra the,0
3717,truly shock sis la tweet also train year calling bitch say offence like sad rae,1
3718,anti terrorist nothing,0
3719,much today actress proud great love,0
3720,miss inmate number,1
3721,anti jujube assume,0
3722,teenage horny setting takeout interpretation hazy sessions recollect horrendous open precedent,0
3723,evidence repress flake word left man loon yet bet fast hang without shut sue people dare memory,1
3724,selective know havana ugh urls want us liberal reply putrid moral stand conservative outrage,1
3725,tolerant fact belief counter rationalize liberal believe bot anyone opinion way using logic like world view russian,0
3726,lit damn ply headgear pc uni console suck,1
3727,republic cancer american prove,1
3728,smear rapist gonna guy havana ugh fine call urls next liberal obvious everybody pull democrat,0
3729,cry milk liberal spill,0
3730,ultimate tease,0
3731,doe even eric know,0
3732,anti attention twitter suspend list check account everyday report many still high target names profile trump supporter comprise publicizing please,0
3733,newspaper country twitter enough support see love would dissent get say stream execute control much state communist like people,1
3734,anti cancer lost white multicultural support germany fully illegal discussion society two war nationalism proudly money nationalist give issue,1
3735,trump internet president medium message cell social post phone block prepping,0
3736,anti wannabe along follow sheep news everyone put fake kkt think,1
3737,hypocrite abortion support difference commercial showing really run gun kid kill control protect,1
3738,night thought late,0
3739,hood self liberal sorry hate mindset become lazy convince entitle never raise victim impart keep son try us feel someone like,1
3740,replace prejudice comment xenophobic need obvious indication make desperate enough view stem,0
3741,unless enough left man movie truthful accurate educate make give metaphor believe first globalist,1
3742,father friend safe talk,0
3743,sexy literally wake,0
3744,decline even buy iphone hate ass maybe screw second samsung next website phone though credit one without time afford times hey,1
3745,far medium admire career piece works make people shit think,1
3746,day want note everyone one professionalism judge shame,0
3747,disgrace,1
3748,would least wedding honest want life someone choice,0
3749,means anti whf think,0
3750,old urls voter republican back lay case call acc conservative democratic ronald president congress wonder repeal reagan son oppose today,0
3751,clear disprove legislation go interest particular strict relationship gun international homicide overwhelmingly crime rates phrasing violent correlation swearer control question,0
3752,often police funny see liberal federal criticism conservative write,0
3753,jealous,1
3754,month old man lawyer mind stu accuse einstein kyle hire last test life crime proof damn take ruining detector band leak years accusation lie judge,1
3755,anti lost engage track brit,0
3756,come regardless mindset convince loosely definitively late win change matter crucial anyway already define conservative,0
3757,guess day go strict around kid every chicago gun shit control,1
3758,rule hope class join middle believe,0
3759,police extremely public even platform see saying things others unfortunate say using similar figure right first,1
3760,clear saul behind rule reading measure slinky implement force gun reasoning war become process socialism civil stop one control picture knowing radical historically effective,1
3761,mention send know big solid want liberal away make back principal could stir might many difference tree kick one have laugh years followers rock retest please,0
3762,school doe safety gun play role control,0
3763,maybe mentally doe ill de really address family jar issue think,1
